"Timestamp";"Vetronaviglio.5001118029#Energia attiva nel carico#kWh";"Vetronaviglio.5001118029#Potenza attiva#kW"
2026-08-02 19:00:00;725480,59;3,58931
2026-08-02 19:05:00;725480,9;3,69544
2026-08-02 19:10:00;725481,21;3,39628
2026-08-02 19:15:00;725481,5;3,49746
2026-08-02 19:20:00;725481,81;3,90876
2026-08-02 19:25:00;725482,12;3,85092
2026-08-02 19:30:00;725482,42;3,49925
2026-08-02 19:35:00;725482,71;3,39544
2026-08-02 19:40:00;725483,02;3,76846
2026-08-02 19:45:00;725483,33;3,68415
2026-08-02 19:50:00;725483,62;3,49761
2026-08-02 19:55:00;725483,91;3,61223
2026-08-02 20:05:00;725484,53;3,29625
2026-08-02 20:10:00;725484,81;3,44029
2026-08-02 20:15:00;725485,1;3,71692
2026-08-02 20:20:00;725485,41;3,62873
2026-08-02 20:25:00;725485,71;3,50996
2026-08-02 20:30:00;725485,99;3,427
2026-08-02 20:35:00;725486,31;3,81736
2026-08-02 20:40:00;725486,62;3,8727
2026-08-02 20:45:00;725487,02;4,74064
2026-08-02 20:50:00;725487,42;4,80956
2026-08-02 20:55:00;725487,83;4,86629
2026-08-02 21:00:00;725488,23;4,71731
2026-08-02 21:05:00;725488,62;4,62327
2026-08-02 21:10:00;725489,02;4,76481
2026-08-02 21:15:00;725489,41;4,66561
2026-08-02 21:20:00;725489,84;5,17639
2026-08-02 21:25:00;725490,27;5,14084
2026-08-02 21:30:00;725490,69;5,02473
2026-08-02 21:35:00;725491,1;4,72882
2026-08-02 21:40:00;725491,49;4,76046
2026-08-02 21:45:00;725491,95;6,41945
2026-08-02 21:50:00;725492,58;7,38616
2026-08-02 21:55:00;725493,05;4,69411
2026-08-02 22:05:00;725493,87;5,16999
2026-08-02 22:10:00;725494,28;4,5649
2026-08-02 22:15:00;725494,67;4,72286
2026-08-02 22:20:00;725495,09;5,19167
2026-08-02 22:25:00;725495,52;5,22076
2026-08-02 22:30:00;725495,93;4,8694
2026-08-02 22:35:00;725496,33;4,77918
2026-08-02 22:40:00;725496,75;5,16646
2026-08-02 22:45:00;725497,18;5,00504
2026-08-02 22:50:00;725497,57;4,75315
2026-08-02 22:55:00;725497,97;4,68703
2026-08-02 23:00:00;725498,4;5,23411
2026-08-02 23:05:00;725498,82;4,82046
2026-08-02 23:10:00;725499,22;4,73111
2026-08-02 23:15:00;725499,63;5,24743
2026-08-02 23:20:00;725500,06;5,088
2026-08-02 23:25:00;725500,47;4,82293
2026-08-02 23:30:00;725500,87;4,77782
2026-08-02 23:35:00;725501,29;5,09012
2026-08-02 23:40:00;725501,71;4,99635
2026-08-02 23:45:00;725502,11;4,74641
2026-08-02 23:50:00;725502,49;4,64073
2026-08-02 23:55:00;725502,91;5,03879
2026-08-03 00:10:00;725504,12;5,22054
2026-08-03 00:15:00;725504,55;5,09664
2026-08-03 00:20:00;725504,96;4,74744
2026-08-03 00:25:00;725505,36;4,73482
2026-08-03 00:30:00;725505,77;5,08443
2026-08-03 00:35:00;725506,19;4,96039
2026-08-03 00:40:00;725506,58;4,69117
2026-08-03 00:45:00;725506,97;4,62303
2026-08-03 00:50:00;725507,39;5,08358
2026-08-03 00:55:00;725507,8;4,74564
2026-08-03 01:00:00;725508,19;4,71437
2026-08-03 01:05:00;725508,6;5,0595
2026-08-03 01:10:00;725509,01;5,0084
2026-08-03 01:15:00;725509,41;4,63096
2026-08-03 01:20:00;725509,8;4,63612
2026-08-03 01:25:00;725510,22;5,12175
2026-08-03 01:30:00;725510,64;4,92679
2026-08-03 01:35:00;725511,03;4,76537
2026-08-03 01:40:00;725511,41;4,73126
2026-08-03 01:45:00;725511,83;4,9621
2026-08-03 01:50:00;725512,23;4,55294
2026-08-03 01:55:00;725512,61;4,63695
2026-08-03 02:05:00;725513,45;5,19624
2026-08-03 02:10:00;725513,84;4,64187
2026-08-03 02:15:00;725514,23;4,67156
2026-08-03 02:20:00;725514,65;4,90555
2026-08-03 02:25:00;725515,05;4,68348
2026-08-03 02:30:00;725515,44;4,69902
2026-08-03 02:35:00;725515,83;5,12803
2026-08-03 02:40:00;725516,26;5,09678
2026-08-03 02:45:00;725516,67;4,75125
2026-08-03 02:50:00;725517,07;4,74542
2026-08-03 02:55:00;725517,47;4,74028
2026-08-03 03:00:00;725517,87;4,8286
2026-08-03 03:05:00;725518,26;4,73962
2026-08-03 03:10:00;725518,66;4,73715
2026-08-03 03:15:00;725519,05;4,67759
2026-08-03 03:20:00;725519,48;5,11437
2026-08-03 03:25:00;725519,9;5,0864
2026-08-03 03:30:00;725520,33;5,04579
2026-08-03 03:35:00;725520,73;4,6311
